Reference, Value, Footprint, Datasheet, Description, Digikey Part Number, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Price, Arrow Part Number, Arrow Price/Stock
"J1","502078-1710","5020781710","https://componentsearchengine.com/Datasheets/2/502078-1710.pdf","250UM FPC E/O Hsg Assy 17Ckt EmbsTpPkg","WM14446TR-ND","1.15","Molex","502078-1710","538-502078-1710","https://www.mouser.co.uk/ProductDetail/Molex/502078-1710/?qs=qM7ngqbhX5VeJKt0xqlhhA%3D%3D","1.68","",""
"U7","BMI160","Package_LGA:Bosch_LGA-14_3x2.5mm_P0.5mm","https://www.mouser.ee/datasheet/2/783/BST_BMI160_DS000-1509569.pdf","","828-1057-2-ND","","","","","https://www.mouser.ee/ProductDetail/Bosch-Sensortec/BMI160/?qs=Lj1LZLjqIN1DEsUDgjehlg%3D%3D","3.75","",""
"C31","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"R15","0","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4062-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04020000Z0EDC/?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gwkqbMx2gSI%252BmKUnjnIW1MQ%3D%3D","0.09","",""
"IC4","MAX20303BEWN+","Horace:BGA56C50P7X8_368X418X69","https://datasheets.maximintegrated.com/en/ds/MAX20303.pdf","PMIC with Ultra Low IQ Voltage Regulators, Battery Charger and Fuel Gauge for Small Lithium Ion Systems, 56WLP","MAX20303BEWN+-ND","0.69","Maxim Integrated","MAX20303BEWN+","700-MAX20303BEWN+","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX20303BEWN+?qs=1mbolxNpo8eN7uF1MmO5jA==","7.50","",""
"C12","22uF","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB226/?qs=1mbolxNpo8feUBij0j9URA%3D%3D","0.38","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","311-1438-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","0.09","",""
"C15","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"C7","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"R10","3k3","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4080-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04023K30FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmE%2FggEcOhSNvA%2F5ngj%2FfFFA%3D%3D","0.09","",""
