"Source:","C:\Users\Vadim\Projects\Horace\sensor\sensor.kicad_sch"
"Date:","24.11.2022 15:50:27"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser part number","Mouser parts/stock","Price"
"","","C1","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3777-2-ND","","Yageo","CC0402KRNPO7BN100","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.1"
"","","C2","10pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3777-2-ND","","Yageo","CC0402KRNPO7BN100","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.1"
"","","C3","47pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3751-2-ND","","Yageo","CC0402JRNPO8BN470","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C4","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C5","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C6","47nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1688-2-ND","","Yageo","CC0402KRX5R6BB473","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C7","47nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1688-2-ND","","Yageo","CC0402KRX5R6BB473","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C8","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C9","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3340-2-ND","","Yageo","CC0402KRX5R5BB104","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","","","0.09"
"","","C10","0.1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-3340-2-ND","","Yageo","CC0402KRX5R5BB104","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","","","0.09"
"","","C11","1nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","13-CC0402JRNPO7BN102TR-ND","","Yageo","CC0402JRNPO7BN102","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C12","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C13","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C14","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C15","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
"","","C16","10uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY-GPHC_X5R_4V-to-50V_25-1131599.pdf","","","","311-1729-2-ND","","Yageo","CC0402MRX5R5BB106","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402MRX5R5BB106/?qs=zEY9bCHj09eCmUJdZuS5Lg%3D%3D","","","0.22"
"","","C17","1uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","http://www.easyflip.co.uk/Farnell_element14_2013_UK/book.html?page=1145","","","","311-1438-2-ND","","Yageo","CC0402KRX5R5BB105","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB105/?qs=AgBp2OyFlx8OsRLdvCJiRw%3D%3D","","","0.09"
